,c4,c7,c9,c1,c10,c0,c15,c2,c11,c13,c3,c6,c12,c5,c14
c4,,,,,,,,,,,,,,,
c7,,,,,,,,,,,,,,,
c9,,,,,,,,,,,,,,,
c1,,,,,,,,,,,,,,,
c10,,,,,,,,,,,,,,,
c0,,,,,,,,,,,,,,,
c15,,,,,,,,,,,,,,,
c2,,,,,,,,,,,,,,,
c11,,,,,,,,,,,,,,,
c13,,,,,,,,,,,,,,,
c3,,,,,,,,,,,,,,,
c6,,,,,,,,,,,,,,,
c12,,,,,,,,,,,,,,,
c5,,,,,,,,,,,,,,,
c14,,,,,,,,,,,,,,,
